year,fips60_06,fips,wtem,wpre,wtem50,wpre50,country,country_code,ki,rgdpl,gdpLCU,gdpSHAREAG,gdpWDIGDPAGR,gdpWDIGDPIND,lnrgdpl_t0,_MENA,_SSAF,_LAC,_WEOFF,_EECA,_SEAS,parent
1950,AG,AG,17.024757,5.6906519,16.783577,47.550648,Algeria,DZA,,,,,,,8.2682076,1,0,0,0,0,0,AG
1970,AG,AG,16.475075,4.7256269,16.783577,47.550648,Algeria,DZA,14.55367684332236,4280.133793432616,6612.722016,9.205466270000001,6500000000,63800000000,8.2682076,1,0,0,0,0,0,AG
1971,AG,AG,16.03187,5.5264211,16.783577,47.550648,Algeria,DZA,14.52293230750451,3830.378503096807,5689.668521,9.569174767,6690000000,51500000000,8.2682076,1,0,0,0,0,0,AG
1951,AG,AG,16.835926,5.2954202,16.783577,47.550648,Algeria,DZA,,,,,,,8.2682076,1,0,0,0,0,0,AG
1984,AG,AG,16.006409,6.4159737,16.783577,47.550648,Algeria,DZA,22.36613124508675,5460.948571398555,9248.24353,7.530864239,12700000000,104000000000,8.2682076,1,0,0,0,0,0,AG
1964,AG,AG,16.789356,5.1934352,16.783577,47.550648,Algeria,DZA,8.932189470437939,3778.400908436548,5388.807354,,5540000000,36000000000,8.2682076,1,0,0,0,0,0,AG
1976,AG,AG,15.559308,6.4290338,16.783577,47.550648,Algeria,DZA,21.76700888853154,4343.494712077858,7892.5062,9.926880836,10200000000,71200000000,8.2682076,1,0,0,0,0,0,AG
1983,AG,AG,16.997898,3.0333655,16.783577,47.550648,Algeria,DZA,23.14929607522802,5277.886485732696,9040.413734,7.746150494,11600000000,99700000000,8.2682076,1,0,0,0,0,0,AG
1991,AG,AG,16.192032,4.6718097,16.783577,47.550648,Algeria,DZA,13.04575787380556,5537.323290847015,8137.656522,10.16705799,19600000000,111000000000,8.2682076,1,0,0,0,0,0,AG
1992,AG,AG,16.207294,5.6132998,16.783577,47.550648,Algeria,DZA,11.522359915325,5616.99712628844,8088.545549,12.12684631,20600000000,111000000000,8.2682076,1,0,0,0,0,0,AG
2003,AG,AG,18.063648,5.8489175,16.783577,47.550648,Algeria,DZA,11.78702668405034,5993.001282704092,9091.517404,10.49123669,32300000000,149000000000,8.2682076,1,0,0,0,0,0,AG
1969,AG,AG,16.27569,7.2130156,16.783577,47.550648,Algeria,DZA,12.41519605664228,4100.296048912491,6259.835941,9.030164719,6010000000,58600000000,8.2682076,1,0,0,0,0,0,AG
1966,AG,AG,16.71452,4.113543,16.783577,47.550648,Algeria,DZA,6.833545176270107,3685.267870573735,5192.149083,9.137255669,4360000000,42600000000,8.2682076,1,0,0,0,0,0,AG
1953,AG,AG,16.590546,5.1489925,16.783577,47.550648,Algeria,DZA,,,,,,,8.2682076,1,0,0,0,0,0,AG
1987,AG,AG,17.441469,4.3182878,16.783577,47.550648,Algeria,DZA,13.6420180485493,5934.353311531615,8759.429308000001,12.87465954,16900000000,110000000000,8.2682076,1,0,0,0,0,0,AG
1959,AG,AG,16.763943,6.1767783,16.783577,47.550648,Algeria,DZA,,,,,,,8.2682076,1,0,0,0,0,0,AG
1986,AG,AG,16.653143,5.8379869,16.783577,47.550648,Algeria,DZA,18.11358586999559,5743.478855475285,9070.663247,10.17942142,14400000000,110000000000,8.2682076,1,0,0,0,0,0,AG
1980,AG,AG,15.955501,5.4817748,16.783577,47.550648,Algeria,DZA,23.28433043463649,5055.841731654549,8638.469875000001,8.509234427999999,12900000000,87400000000,8.2682076,1,0,0,0,0,0,AG
1993,AG,AG,16.700777,3.923605,16.783577,47.550648,Algeria,DZA,10.94309993027792,5431.682245535895,7740.624556,12.0970726,19800000000,109000000000,8.2682076,1,0,0,0,0,0,AG
1978,AG,AG,15.964666,4.8355427,16.783577,47.550648,Algeria,DZA,29.78273299168675,4436.832186999143,8511.214635,8.805621147,10500000000,86200000000,8.2682076,1,0,0,0,0,0,AG
1988,AG,AG,17.252281,4.4844303,16.783577,47.550648,Algeria,DZA,15.28545489962059,5572.77897127797,8442.667947,12.1676569,15700000000,109000000000,8.2682076,1,0,0,0,0,0,AG
1985,AG,AG,16.906139,4.545764,16.783577,47.550648,Algeria,DZA,22.75841678986369,5457.05450311721,9301.98079,8.995894432,14600000000,107000000000,8.2682076,1,0,0,0,0,0,AG
1974,AG,AG,16.102718,5.1156235,16.783577,47.550648,Algeria,DZA,23.3501976507298,4043.566014142148,7382.698711,7.366629601,8050000000,64700000000,8.2682076,1,0,0,0,0,0,AG
2006,AG,AG,18.05308,4.538528,16.783577,47.550648,Algeria,DZA,,,,,,,8.2682076,1,0,0,0,0,0,AG
1973,AG,AG,16.191353,6.5863323,16.783577,47.550648,Algeria,DZA,15.47217245432917,4425.815156034468,7083.20539,7.039759636,6210000000,80000000000,8.2682076,1,0,0,0,0,0,AG
2000,AG,AG,17.644897,3.2764149,16.783577,47.550648,Algeria,DZA,8.987802158959264,5753.121996241878,8281.590177,8.879882813,24100000000,134000000000,8.2682076,1,0,0,0,0,0,AG
1996,AG,AG,16.757427,5.3601112,16.783577,47.550648,Algeria,DZA,10.27131189841333,5513.453436675691,7828.37365,11.76669884,25700000000,113000000000,8.2682076,1,0,0,0,0,0,AG
1989,AG,AG,17.424395,3.4237742,16.783577,47.550648,Algeria,DZA,15.67753643201424,5578.146182956583,8588.569663,13.03901482,18200000000,110000000000,8.2682076,1,0,0,0,0,0,AG
1962,AG,AG,16.649721,6.1951065,16.783577,47.550648,Algeria,DZA,15.11652560233471,2626.150107904474,3941.249797,,5660000000,14400000000,8.2682076,1,0,0,0,0,0,AG
